ABASZENTMIKLOS,"naselje v županiji Győr-Moson-Sopron, Madžarska",,
ABATANTUONO,"italijanski igralec - Diego (1955-), (Mediterraneo),",,
ABATE,"etiopski atlet, tekač na srednje proge - Abiyote (1980-)",,
ABATEMARCO,"južnoitalijanska vas in občina v provinci Salerno, Kampanija",,
ABATI,"francoski rokometaš - Joel (1970-) (nekd.),",,
ABATI,"nigerijski novinar - Reuben (1965-),",,
ABATON,"najsvetejše v pravoslavni cerkvi,",,
ABAUCOURT,"občina v departmaju Meurthe-et-Moselle, Francija,",,
ABAUJALPAR,"naselje v županiji Borsod-Abauj-Zemplen, Madžarska,",,
ABAUJKER,"naselje v županiji Borsod-Abauj-Zemplen, Madžarska,",,
ABAUJLAK,"naselje v županiji Borsod-Abauj-Zemplen, Madžarska,",,
ABAUJSZANTO,"naselje v županiji Borsod-Abauj-Zemplen, Madžarska,",,
ABAUJSZOLNOK,"naselje v županiji Borsod-Abauj-Zemplen, Madžarska,",,
ABAUJVAR,"naselje v županiji Heves, Madžarska,",,
ABAUZIT,"francoski fizik in teolog - Firmin (1679†1767),",,
ABAVA,"reka v Latviji, desni pritok Vente",,vpis
ABAZA,"mesto v Rusiji v republiki Hakasiji",,
ABAZIJA,"nezmožnost hoje zaradi živčnih motenj (med.),",,
ABAŠIDZE,"gruzijski pesnik - Iraklij (1909†1992),",,
ABAŠIDZE,"gruzijski pesnik in pisatelj - Grigol Grigorjevič (1914†1994),",,
ABAŠIDZE,"gruzijski politik - Aslan (1938-),",,
ABAŠIRI,"mesto na otoku Hokaido, Japonska,",,
ABAŠKIN,"ruski general - Peter Stepanovič (1868†1934),",,
ABAŠKIN,"ruski general - Vasilij Timofejevič  (1899† ),",,
ABAŽUR,"senčnik ali pokrov za luč, ki mehča in usmerja svetlobo",,vpis
ABBA,"italijanska igralka - Marta (1900†1988), (Teresa Confalonieri),",,
ABBA,"italijanski pisatelj in domoljub - Giuseppe Cesare (1838†1910), (Le rive della Bormida),",,
ABBA,"švedska glasbena skupina (nekd.)",,perplexity
ABBADIA,"občina v provinci Lecco v deželi Lombardija, Italija",,
"ABBADIA A ISOLA","naselje v Toskani, v pokrajini Siena, Italija",,
ABBADO,"italijanski dirigent - Claudio (1933†2014)",,
ABBAGNANO,"italijanski filozof, eksistencialist - Nicola (1901†1990),",,
ABBALATA,"gora na Sardiniji, Italija,",,
ABBARETZ,"naselje in občina v departmaju Loire-Atlantique, Francija,",,
ABBAS,"alžirski kemik in politik, predsednik - Ferhat (1899†1985),",,
ABBAS,"egiptovski kediv - Hilmi I. (1813†1854),",,
ABBAS,"egiptovski kediv - Hilmi II. (1874†1944),",,
ABBAS,"egipčanski pisatelj - Mahmud el Akad (1889†1964),",,
ABBAS,"indijski režiser - Khwaja Ahmad (1914†1987), (Maya mahal),",,
ABBAS,"palestinski politik, predsednik - Mahmoud (1935-),",,
ABBAS,"palestinski terorist - Muhammad Zaidan abu (1948†2004),",,
ABBASANTA,"mesto na Sardiniji, Italija",,
ABBASI,"iransko-danski režiser - Ali (1981-), (Sveti pajek)",,
ABBASI,"perzijski slikar - Riza (1565†1635),",,
ABBATE,"argentinska pisateljica, pesnica in novinarka - Florencia (1976-)",,perplexity
ABBATI,"italijanski matematik - Pietro Marescotti (1768†1842),",,
ABBATI,"italijanski slikar - Giuseppe (1836†1868),",,
ABBE,"ameriški fotograf - James Edward (1883†1973),",,
ABBE,"ameriški kirurg in radiolog - Robert (1851†1928),",,
ABBE,"ameriški meteorolog in astronom - Cleveland (1838†1916),",,
ABBE,"naslov za katoliškega duhovnika (fr.),",,
ABBE,"nemški fizik in astronom - Ernst Karl (1840†1905),",,
ABBEVILLE,"mesto v departmaju Somme, Francija,",,
ABBEVILLE,"mesto v zvezni državi Louisiana, ZDA,",,
ABBEY,"ameriški pisatelj - Edward (1927†1989), (Osamljena puščava),",,
ABBEY,"ameriški slikar, muralist - Edwin Austin (1852†1911),",,
"ABBEY ROAD","enajsti album angleške skupine The Beatles,",,
"ABBEY THEATRE","gledališče v ulici Abbey v Dublinu (dve besedi)",,vpis
ABBIATEGRASSO,"občina in mesto v Lombardiji, ki leži v Padski nižini, severna Italija",,
ABBIATI,"italijanski nogometaš, vratar - Christian (1977-) (nekd.)",,
ABBIO,"italijanski košarkar - Alessandro (1971-) (nekd.)",,vpis
ABBO,"francoski benediktinski menih, svetnik in mučenik (ok. 945†1004)",,vpis
ABBONDANZIERI,"argentinski nogometaš, vratar - Roberto """"El Pato"""" (1972-) (nekd.)",,
ABBOT,"ameriški astrofizik - Charles Greely (1872†1973),",,
ABBOT,"ameriški filozof in teolog - Francis Ellingwood (1836†1903),",,
ABBOT,"britanski igralec - William (1790†1843),",,
ABBOT,"britanski pisatelj - George (1603 †1648),",,
ABBOTSFORD,"mesto na Škotskem,",,
ABBOTT,"ameriška fotografinja - Berenice (1898†1991)",,vpis
ABBOTT,"ameriška operna pevka, sopranistka - Emma (1850†1891)",,vpis
ABBOTT,"ameriški arheolog in naravoslovec - Charles Conrad (1843†1919), (Outings at Odd Times)",,vpis
ABBOTT,"ameriški igralec - Philip (1923†1998), (Fantovščina)",,vpis
ABBOTT,"ameriški igralec in komik - William Alexander """"Bud"""" (1895†1974), (Abbott and Costello in Hollywood)",,vpis
ABBOTT,"ameriški igralec, režiser in producent - George (1887†1995), (Trije na konju)",,vpis
ABBOTT,"ameriški mladinski pisatelj - Jacob (1803†1879), (The Beechnut Book)",,vpis
ABBOTT,"ameriški zgodovinar in pisatelj - John Stevens Cabot (1805†1877), (History of Napoleon Bonaparte)",,vpis
ABBOTT,"britanska političarka - Diane (1953-)",,vpis
ABBOTT,"britanski slikar - John White (1763†1851)",,vpis
ABBOTT,"britanski slikar - Lemuel Francis (ok. 1760†1802)",,vpis
ABBOTT,"kanadski politik, premier - John Joseph Caldwell (1821†1893)",,vpis
ABBOTTABAD,"mesto na severovzhodu Pakistana",,vpis
ABBOUD,"ameriški modni oblikovalec - Joseph (1950-),",,
ABBOUD,"sudanski politik, predsednik - Ibrahim (1900†1983),",,
ABC,"kratica za atomsko, biološko in kemično orožje",,perplexity
ABC,"radijska in televizijska družba v ZDA",,
ABCOULOMB,"enota za merjenje naboja v CGS sistemu enot,",,
ABD,"arabski naziv za sužnja",,perplexity
"ABD AL RAHMAN","omajadski vladar - Prvi (731†788),",,
"ABD AL-AZIZ","maroški sultan (1880†1943),",,
"ABD AL-HAFIZ","maroški sultan (1875 †1937),",,
"ABD AL-KADER","alžirski vojaški in verski voditelj (ok. 1807†1883),",,
"ABD AL-MALIK","omajadski kalif (ok. 646†705),",,
"ABD AL-RAHMAN","afganistanski emir - Kan (1844 †1901),",,
"ABD AL-RAHMAN","maroški sultan (1778†1859),",,
"ABD AL-RAHMAN","omajadski emir v Cordobi - Drugi (822†852),",,
"ABD AL-RAHMAN","omajadski emir v Cordobi - Tretji (912†961),",,
"ABD AL-RAHMAN","prvi omajadski emir v Cordobi - Prvi (731†788),",,
"ABD EL KADIR","voditelj alžirskih berberskih ljudstev (1808†1883),",,
"ABD EL KRIM","vodja rifskih Kabilov (1882†1963),",,
ABDA,"naselje v županiji Gyor-Moson-Sopron, Madžarska,",,perplexity
"ABDEL AZIZ","saudski princ - Faisal Ibn Musad (1944†1975),",,
ABDELNABY,"egiptovski košarkar - Alaa(1968-), (nekd.)",,
ABDERA,"mesto v Trakiji, katerega prebivalci so veljali za omejene, Grčija, Avdira",,vpis
ABDERHALDEN,"švicarski fiziolog in biokemik - Emil (1877†1950),",,
ABDERIT,"prebivalec starogrškega mesta Abdera,",,
ABDERITSTVO,"omejenost, ozkosrčnost (ekspr.),",,
ABDEST,"ritualno umivanje pred molitvijo pri muslimanih,",,
ABDI,"biblijski izraz za moj služabnik ali božji služabnik",2026-04-11,vpis
ABDIKACIJA,"osebna izjava vladarja, s katero se odpoveduje vladarskemu položaju,",,
ABDIKASSIM,"somalski politik, nekdanji predsednik - Salad Hassan (1941-),",,
ABDOMEN,"del telesa med medenico in prsnim košem, trebuh (anat.)",,perplexity
ABDOMEN,"zadek pri žuželkah (zool.)",,
"ABDOMINALNA KIRURGIJA","veja v kirurgiji, ki se ukvarja z operativnim zdravljenjem obolenj v trebuhu,",,
ABDOMINOSKOP,"naprava za preiskovanje trebuha,",,
ABDOMINOSKOPIJA,"preiskovanje trebuha (med.),",,
"ABDON BATISTA","mesto v zvezni državi Santa Catarina, Brazilija,",,
ABDUJAPAROV,"uzbekistanski kolesar, imenovan """"Taškent ekspres"""" - Djamolidin (1964-) (nekd.),",,
ABDUKCIJA,"odmik uda od naravne lege (med.),",,
ABDUKCIJA,"sklepanje na najboljšo razlago,",,
ABDUKTOR,"mišica na notranji in zunanji strani nog, ki zagotavlja močne odrive (anat.),",,
ABDUL,"ameriška plesalka, koreografinja in pevka - Paula (1962-),",,
"ABDUL AZIZ","otomanski sultan (1830†1876),",,
"ABDUL HAMID","otomanski sultan - Drugi (1842†1918),",,
"ABDUL HAMID","otomanski sultan - Prvi (1725†1789),",,
"ABDUL MEDŽID","turški sultan - Prvi (1823†1861),",,
"ABDUL RAUF","ameriški košarkar - Mahmoud (1969-) (nekd.)",,
"ABDUL WAHAD","francosko-ameriški košarkar - Tariq (1974-) (nekd.),",,
"ABDULAH IBN HUSAYN","jordanski kralj (1882†1951),",,
ABDULLAH,"nacionalistični voditelj v Kašmirju - šejk Muhamed (1905†1982),",,
ABDULMELIK,"arabski astronom iz 9. stoletja - Kalid Ben,",,
ABDULMUTALIB,"ime Mohamedovega starega očeta,",,
ABDULOV,"ruski igralec - Aleksandr Gavrilovič (1953†2008), (Desyat Negrityat),",,
ABDULWAHEED,"nigerijska pisateljica, pesnica in aktivistka - Hafsat (1952-)",,
ABDUVALIJEV,"tadžikistanski metalec kladiva - Andrej (1966-) (nekd.),",,
ABDUŠELIŠVILI,"gruzijski antropolog - Malhaz (1926†1998),",,
ABE,"japonska skladateljica - Keiko (1937-)",,
ABE,"japonski politik, premier - Šinzo (1954†2022)",2026-03-23,vpis
ABE,"japonski politik, premier - Nobujuki (1875†1953)",,
ABE,"japonski politik, zunanji minister - Šintaro (1924†1991)",,
ABE,"japonski režiser - Jutaka (1895†1977), (Nihon yaburezu)",,
ABE,"mesto na Floridi, ZDA",,
ABE,"psevdonim japonskega pisatelja Kimifusa Abeja - Kobo (1924†1993), (Ženska s peščin)",2026-03-11,perplexity
ABECEDA,"ustaljeno zaporedje črk določenega jezika. Ime je dobila po prvih štirih črkah: A, B, C, Č",2026-03-14,vpis
ABECEDAR,"osebo, ki se uči osnovnih črk oziroma abecednega pisanja (ekspr.)",,
ABECEDARICA,"učenka (ekspr.),",,
ABECEDARIJ,"bralni priročnik, ki ga je napisal Primož Trubar, Abecedarium,",,
"ABECEDNA VOJNA","slovenska črkarska pravda je bila pomembna kulturno-jezikovna polemika, ki je potekala med letoma 1831 in 1833 (dve besedi)",,
ABECEDNIK,"učbenik za začetno učenje branja in pisanja,",,
ABECHE,"glavno mesto prefekture Quaddai, Čad,",,
ABEE,"meteorit, ki je leta 1952 padel v blizu istoimenskega mesta v provinci Alberta, Kanada",,vpis
ABEGG,"nemški kemik - Richard (1869†1910),",,
ABEGJAN,"armenski folklorist in literarni zgodovinar - Manuk (1865†1944),",,
ABEILLE,"nemški pianist in skladatelj - Louis (1761†1832),",,
ABEITA,"ameriška pisateljica in pesnica - Louise (1926†2014)",,perplexity
ABEKEN,"nemški literarni zgodovinar - Bernhard Rudolf (1780†1866),",,
ABEKEN,"nemški teolog - Heinrich (1809†1872),",,
ABEL,"ameriški biokemik in farmakolog - John Jacob (1857†1938)",,
ABEL,"ameriški dramatik in pisatelj - Lionel (1911†2001), (Absalom)",,perplexity
ABEL,"ameriški igralec - Walter (1898†1987), (Mr. Skeffington)",,
ABEL,"avstrijski paleontolog - Othenio (1875†1946)",,
ABEL,"avstrijski slikar in grafik - Joseph (1746†1818)",,
ABEL,"britanski kemik - Frederick Augustus (1826†1902)",,
ABEL,"nemški igralec v nemih filmih - Alfred (1880†1937), (Metropolis)",,
ABEL,"nemški skladatelj - Karl Friedrich (1723†1787)",,
ABEL,"norveški matematik - Niels Henrik (1802†1829)",,
ABEL,"po Bibliji drugi sin Adama in Eve, Kajnov brat",,perplexity
ABEL,"španska atletinja, tekačica na dolge proge - Maria (1974-) (nekd.)",,
"ABEL MAIM","po Bibliji mesto v Palestini,",,
ABELA,"kubanski slikar - Eduardo (1889†1965)",,vpis
ABELAMI,"etnična skupina ob reki Sepik na Novi Gvineji,",,
ABELARD,"francoski filozof, teolog, logik in skladatelj - Pierre (1079†1142)",,
ABELARDO,"filipinski skladatelj - Nicanor (1893†1934),",,
ABELARDO,"španski nogometaš - Fernandez Antuna (1970-) (nekd.),",,
"ABELARDO LUZ","mesto v zvezni državi Santa Catarina, Brazilija,",,
ABELE,"latvijska pisateljica in dramatičarka - Inga (1972-)",,perplexity
ABELIJA,"okrasni grm, ki ga sadimo zaradi lepega listja in bogatega cvetja (vrtn.),",,
ABELIOFIL,"okrasni grm, ki ga gojimo zaradi pozimi odpirajočih se cvetov (vrtn.),",,
ABELL,"ameriški astronom - George Ogden (1927†1983),",,
ABELL,"danski dramatik - Kjeld (1901†1961), (Anna Sophie Hedvig)",,vpis
ABELLANOSA,"filipinska dramatičarka - Victorina A.(1903†1968)",,
ABELS,"ameriški skladatelj - Michael (1962-),",,
ABELS,"avstrijska slikarka in ilustratorka - Erika (1896†1975),",,
ABELS,"danski slikar - Jacob (1803†1866),",,
ABELSON,"ameriški kemik - Phillip Hauge (1913†2004),",,
ABENBERG,"mesto v zvezni deželi Bavarska, Nemčija",,
ABENDROTH,"nemški dirigent in zborovodja - Hermann (1883†1956),",,
ABENDROTH,"nemški politolog - Wolfgang (1906†1985),",,
ABENGOUROU,"mesto na vzhodu Slonokoščene Obale,",,
ABENRA,"mesto in pristanišče ob Baltiku, Danska,",,
ABENSBERG,"mesto v zvezni deželi Bavarska, Nemčija,",,
ABEOKUTA,"mesto severno od Lagosa, Nigerija,",,
ABER,"nemški muzikolog - Adolf (1893†1960)",,perplexity
ABERA,"etiopski atlet, maratonec - Gezahegne (1978-), (nekd.)",2026-03-16,vpis
ABERACIJA,"napaka leče, zaradi katere je slika zamegljena (fiz.),",,
ABERACIJA,"navidezni premik nebesnega telesa v smeri gibanja opazovalca, ki ga povzročata premikanje Zemlje in svetlobna hitrost (astr.),",,
ABERAMAN,"kraj v Walesu,",,
ABERCROMBIE,"ameriška slikarka - Gertrude (1908†1977),",,
ABERCROMBIE,"britanski arhitekt in urbanist - Patrick (1879†1957),",,
ABERCROMBIE,"britanski general - James (1706†1781),",,
ABERCROMBIE,"britanski pesnik in kritik - Lascelles (1881†1938),",,
ABERCROMBIE,"škotski zdravnik in filozof - John (1780†1844),",,
ABERCROMBY,"britanski general v francoskih in indijskih vojnah - James (1706†1781),",,
ABERCROMBY,"britanski junak iz napoleonskih vojn - Ralph (1734†1801),",,
ABERCROMBY,"škotski jezuitski misijonar - Robert (1536†1613),",,
ABERDAR,"puška ali top za opozarjanje",,perplexity
ABERDARE,"mesto v grofiji Mid Glamorgan na jugu Walesa,",,
